Season,Over2.5,Over1.5
2012/2013,0.475,0.75
2013/2014,0.48986486486486486,0.7432432432432432
2014/2015,0.5101351351351351,0.7567567567567568
2015/2016,0.4527027027027027,0.7601351351351351
2016/2017,0.543918918918919,0.777027027027027
2017/2018,0.5067567567567568,0.7195945945945946
2018/2019,0.5202702702702703,0.777027027027027
2019/2020,0.5067567567567568,0.7297297297297297
2020/2021,0.44583333333333336,0.6708333333333333
2021/2022,0.49673202614379086,0.7450980392156863
2022/2023,0.4477124183006536,0.7287581699346405
2023/2024,0.4869281045751634,0.761437908496732
2024/2025,0.49673202614379086,0.761437908496732
